z,H_over_H0,dL,w_phi,w_tot
0.000000000e+00,1.000042752e+00,0.000000000e+00,-9.998830378e-01,-7.000256393e-01
6.937344500e-04,1.000355090e+00,6.940776681e-04,-9.998823695e-01,-6.995885795e-01
1.387950168e-03,1.000667980e+00,1.389383018e-03,-9.998816979e-01,-6.991511566e-01
2.082647486e-03,1.000981424e+00,2.085917388e-03,-9.998810231e-01,-6.987133710e-01
2.777826741e-03,1.001295423e+00,2.783682116e-03,-9.998803450e-01,-6.982752233e-01
3.473488265e-03,1.001609977e+00,3.482678539e-03,-9.998796636e-01,-6.978367140e-01
4.169632393e-03,1.001925086e+00,4.182907996e-03,-9.998789789e-01,-6.973978435e-01
4.866259461e-03,1.002240753e+00,4.884371828e-03,-9.998782909e-01,-6.969586125e-01
5.563369803e-03,1.002556977e+00,5.587071374e-03,-9.998775996e-01,-6.965190213e-01
6.260963754e-03,1.002873760e+00,6.291007974e-03,-9.998769049e-01,-6.960790705e-01
6.959041651e-03,1.003191103e+00,6.996182970e-03,-9.998762068e-01,-6.956387607e-01
7.657603828e-03,1.003509005e+00,7.702597702e-03,-9.998755054e-01,-6.951980922e-01
8.356650621e-03,1.003827469e+00,8.410253513e-03,-9.998748006e-01,-6.947570657e-01
9.056182368e-03,1.004146494e+00,9.119151745e-03,-9.998740924e-01,-6.943156817e-01
9.756199403e-03,1.004466083e+00,9.829293740e-03,-9.998733808e-01,-6.938739406e-01
1.045670206e-02,1.004786235e+00,1.054068084e-02,-9.998726657e-01,-6.934318430e-01
1.115769069e-02,1.005106951e+00,1.125331440e-02,-9.998719472e-01,-6.929893895e-01
1.185916561e-02,1.005428233e+00,1.196719575e-02,-9.998712253e-01,-6.925465805e-01
1.256112718e-02,1.005750081e+00,1.268232624e-02,-9.998704998e-01,-6.921034166e-01
1.326357571e-02,1.006072495e+00,1.339870721e-02,-9.998697709e-01,-6.916598984e-01
1.396651156e-02,1.006395478e+00,1.411634002e-02,-9.998690384e-01,-6.912160263e-01
1.466993506e-02,1.006719030e+00,1.483522600e-02,-9.998683024e-01,-6.907718009e-01
1.537384655e-02,1.007043151e+00,1.555536651e-02,-9.998675629e-01,-6.903272227e-01
1.607824637e-02,1.007367842e+00,1.627676289e-02,-9.998668198e-01,-6.898822923e-01
1.678313485e-02,1.007693105e+00,1.699941649e-02,-9.998660732e-01,-6.894370102e-01
1.748851234e-02,1.008018939e+00,1.772332866e-02,-9.998653230e-01,-6.889913770e-01
1.819437917e-02,1.008345347e+00,1.844850074e-02,-9.998645691e-01,-6.885453933e-01
1.890073569e-02,1.008672329e+00,1.917493409e-02,-9.998638117e-01,-6.880990595e-01
1.960758223e-02,1.008999885e+00,1.990263006e-02,-9.998630506e-01,-6.876523762e-01
2.031491914e-02,1.009328017e+00,2.063158999e-02,-9.998622859e-01,-6.872053440e-01
2.102274675e-02,1.009656725e+00,2.136181524e-02,-9.998615175e-01,-6.867579635e-01
2.173106540e-02,1.009986011e+00,2.209330715e-02,-9.998607454e-01,-6.863102352e-01
2.243987544e-02,1.010315874e+00,2.282606709e-02,-9.998599696e-01,-6.858621596e-01
2.314917721e-02,1.010646317e+00,2.356009639e-02,-9.998591901e-01,-6.854137374e-01
2.385897104e-02,1.010977339e+00,2.429539642e-02,-9.998584069e-01,-6.849649691e-01
2.456925728e-02,1.011308942e+00,2.503196853e-02,-9.998576199e-01,-6.845158553e-01
2.528003627e-02,1.011641127e+00,2.576981406e-02,-9.998568292e-01,-6.840663966e-01
2.599130835e-02,1.011973894e+00,2.650893438e-02,-9.998560347e-01,-6.836165934e-01
2.670307387e-02,1.012307245e+00,2.724933083e-02,-9.998552364e-01,-6.831664465e-01
2.741533316e-02,1.012641179e+00,2.799100478e-02,-9.998544343e-01,-6.827159564e-01
2.812808657e-02,1.012975699e+00,2.873395758e-02,-9.998536284e-01,-6.822651237e-01
2.884133444e-02,1.013310804e+00,2.947819058e-02,-9.998528186e-01,-6.818139489e-01
2.955507712e-02,1.013646497e+00,3.022370515e-02,-9.998520050e-01,-6.813624326e-01
3.026931494e-02,1.013982777e+00,3.097050263e-02,-9.998511875e-01,-6.809105755e-01
3.098404826e-02,1.014319645e+00,3.171858438e-02,-9.998503660e-01,-6.804583781e-01
3.169927741e-02,1.014657103e+00,3.246795176e-02,-9.998495407e-01,-6.800058411e-01
3.241500274e-02,1.014995151e+00,3.321860614e-02,-9.998487115e-01,-6.795529650e-01
3.313122460e-02,1.015333790e+00,3.397054886e-02,-9.998478783e-01,-6.790997504e-01
3.384794332e-02,1.015673022e+00,3.472378129e-02,-9.998470411e-01,-6.786461979e-01
3.456515925e-02,1.016012846e+00,3.547830479e-02,-9.998462000e-01,-6.781923082e-01
3.528287275e-02,1.016353263e+00,3.623412072e-02,-9.998453548e-01,-6.777380818e-01
3.600108414e-02,1.016694276e+00,3.699123043e-02,-9.998445057e-01,-6.772835193e-01
3.671979378e-02,1.017035884e+00,3.774963529e-02,-9.998436525e-01,-6.768286214e-01
3.743900202e-02,1.017378088e+00,3.850933665e-02,-9.998427953e-01,-6.763733887e-01
3.815870919e-02,1.017720890e+00,3.927033589e-02,-9.998419340e-01,-6.759178218e-01
3.887891565e-02,1.018064290e+00,4.003263436e-02,-9.998410686e-01,-6.754619213e-01
3.959962175e-02,1.018408288e+00,4.079623343e-02,-9.998401991e-01,-6.750056878e-01
4.032082782e-02,1.018752887e+00,4.156113445e-02,-9.998393255e-01,-6.745491220e-01
4.104253422e-02,1.019098087e+00,4.232733880e-02,-9.998384478e-01,-6.740922244e-01
4.176474129e-02,1.019443888e+00,4.309484783e-02,-9.998375659e-01,-6.736349958e-01
4.248744938e-02,1.019790291e+00,4.386366291e-02,-9.998366799e-01,-6.731774367e-01
4.321065883e-02,1.020137298e+00,4.463378541e-02,-9.998357896e-01,-6.727195477e-01
4.393437001e-02,1.020484910e+00,4.540521668e-02,-9.998348951e-01,-6.722613296e-01
4.465858324e-02,1.020833127e+00,4.617795810e-02,-9.998339964e-01,-6.718027829e-01
4.538329889e-02,1.021181949e+00,4.695201104e-02,-9.998330935e-01,-6.713439083e-01
4.610851730e-02,1.021531379e+00,4.772737685e-02,-9.998321863e-01,-6.708847065e-01
4.683423882e-02,1.021881417e+00,4.850405690e-02,-9.998312748e-01,-6.704251780e-01
4.756046379e-02,1.022232063e+00,4.928205257e-02,-9.998303590e-01,-6.699653235e-01
4.828719257e-02,1.022583319e+00,5.006136521e-02,-9.998294389e-01,-6.695051437e-01
4.901442551e-02,1.022935185e+00,5.084199621e-02,-9.998285145e-01,-6.690446392e-01
4.974216296e-02,1.023287663e+00,5.162394692e-02,-9.998275857e-01,-6.685838107e-01
5.047040526e-02,1.023640754e+00,5.240721872e-02,-9.998266525e-01,-6.681226588e-01
5.119915277e-02,1.023994457e+00,5.319181297e-02,-9.998257149e-01,-6.676611842e-01
5.192840583e-02,1.024348775e+00,5.397773105e-02,-9.998247729e-01,-6.671993875e-01
5.265816481e-02,1.024703708e+00,5.476497432e-02,-9.998238265e-01,-6.667372695e-01
5.338843004e-02,1.025059256e+00,5.555354416e-02,-9.998228756e-01,-6.662748307e-01
5.411920188e-02,1.025415422e+00,5.634344194e-02,-9.998219203e-01,-6.658120719e-01
5.485048069e-02,1.025772205e+00,5.713466903e-02,-9.998209604e-01,-6.653489937e-01
5.558226681e-02,1.026129606e+00,5.792722679e-02,-9.998199961e-01,-6.648855968e-01
5.631456059e-02,1.026487628e+00,5.872111661e-02,-9.998190272e-01,-6.644218818e-01
5.704736239e-02,1.026846269e+00,5.951633986e-02,-9.998180538e-01,-6.639578495e-01
5.778067256e-02,1.027205532e+00,6.031289790e-02,-9.998170758e-01,-6.634935005e-01
5.851449146e-02,1.027565417e+00,6.111079212e-02,-9.998160932e-01,-6.630288355e-01
5.924881942e-02,1.027925926e+00,6.191002389e-02,-9.998151060e-01,-6.625638552e-01
5.998365682e-02,1.028287058e+00,6.271059458e-02,-9.998141142e-01,-6.620985603e-01
6.071900400e-02,1.028648815e+00,6.351250556e-02,-9.998131177e-01,-6.616329514e-01
6.145486132e-02,1.029011198e+00,6.431575822e-02,-9.998121166e-01,-6.611670293e-01
6.219122912e-02,1.029374208e+00,6.512035392e-02,-9.998111108e-01,-6.607007946e-01
6.292810777e-02,1.029737845e+00,6.592629405e-02,-9.998101002e-01,-6.602342481e-01
6.366549761e-02,1.030102111e+00,6.673357997e-02,-9.998090850e-01,-6.597673904e-01
6.440339901e-02,1.030467007e+00,6.754221308e-02,-9.998080649e-01,-6.593002222e-01
6.514181232e-02,1.030832532e+00,6.835219473e-02,-9.998070402e-01,-6.588327443e-01
6.588073789e-02,1.031198690e+00,6.916352632e-02,-9.998060106e-01,-6.583649573e-01
6.662017608e-02,1.031565479e+00,6.997620922e-02,-9.998049762e-01,-6.578968620e-01
6.736012724e-02,1.031932901e+00,7.079024481e-02,-9.998039370e-01,-6.574284590e-01
6.810059173e-02,1.032300958e+00,7.160563447e-02,-9.998028929e-01,-6.569597491e-01
6.884156991e-02,1.032669649e+00,7.242237957e-02,-9.998018439e-01,-6.564907330e-01
6.958306212e-02,1.033038976e+00,7.324048150e-02,-9.998007901e-01,-6.560214113e-01
7.032506874e-02,1.033408940e+00,7.405994164e-02,-9.997997313e-01,-6.555517849e-01
7.106759011e-02,1.033779542e+00,7.488076136e-02,-9.997986677e-01,-6.550818545e-01
7.181062660e-02,1.034150782e+00,7.570294205e-02,-9.997975990e-01,-6.546116207e-01
7.255417856e-02,1.034522662e+00,7.652648509e-02,-9.997965254e-01,-6.541410843e-01
7.329824634e-02,1.034895182e+00,7.735139186e-02,-9.997954467e-01,-6.536702459e-01
7.404283031e-02,1.035268343e+00,7.817766375e-02,-9.997943631e-01,-6.531991065e-01
7.478793082e-02,1.035642147e+00,7.900530213e-02,-9.997932744e-01,-6.527276666e-01
7.553354823e-02,1.036016594e+00,7.983430838e-02,-9.997921806e-01,-6.522559270e-01
7.627968291e-02,1.036391685e+00,8.066468390e-02,-9.997910818e-01,-6.517838885e-01
7.702633520e-02,1.036767422e+00,8.149643007e-02,-9.997899778e-01,-6.513115517e-01
7.777350547e-02,1.037143804e+00,8.232954826e-02,-9.997888687e-01,-6.508389175e-01
7.852119408e-02,1.037520833e+00,8.316403987e-02,-9.997877544e-01,-6.503659866e-01
7.926940139e-02,1.037898510e+00,8.399990627e-02,-9.997866350e-01,-6.498927596e-01
8.001812776e-02,1.038276835e+00,8.483714886e-02,-9.997855104e-01,-6.494192374e-01
8.076737354e-02,1.038655811e+00,8.567576901e-02,-9.997843805e-01,-6.489454207e-01
8.151713910e-02,1.039035437e+00,8.651576812e-02,-9.997832455e-01,-6.484713103e-01
8.226742480e-02,1.039415714e+00,8.735714758e-02,-9.997821051e-01,-6.479969069e-01
8.301823099e-02,1.039796644e+00,8.819990875e-02,-9.997809595e-01,-6.475222112e-01
8.376955805e-02,1.040178227e+00,8.904405305e-02,-9.997798085e-01,-6.470472241e-01
8.452140633e-02,1.040560465e+00,8.988958184e-02,-9.997786522e-01,-6.465719463e-01
8.527377619e-02,1.040943358e+00,9.073649653e-02,-9.997774906e-01,-6.460963785e-01
8.602666800e-02,1.041326907e+00,9.158479849e-02,-9.997763235e-01,-6.456205215e-01
8.678008211e-02,1.041711113e+00,9.243448912e-02,-9.997751511e-01,-6.451443761e-01
8.753401889e-02,1.042095978e+00,9.328556980e-02,-9.997739733e-01,-6.446679431e-01
8.828847871e-02,1.042481501e+00,9.413804193e-02,-9.997727899e-01,-6.441912232e-01
8.904346191e-02,1.042867684e+00,9.499190689e-02,-9.997716012e-01,-6.437142171e-01
8.979896888e-02,1.043254528e+00,9.584716607e-02,-9.997704069e-01,-6.432369258e-01
9.055499997e-02,1.043642034e+00,9.670382087e-02,-9.997692071e-01,-6.427593499e-01
9.131155554e-02,1.044030203e+00,9.756187267e-02,-9.997680018e-01,-6.422814902e-01
9.206863597e-02,1.044419036e+00,9.842132287e-02,-9.997667909e-01,-6.418033475e-01
