z,H_over_H0,dL,w_phi,w_tot
0.000000000e+00,9.986314958e-01,0.000000000e+00,-9.998833676e-01,-7.020055754e-01
6.937344500e-04,9.989413348e-01,6.950592475e-04,-9.998827007e-01,-7.015701705e-01
1.387950168e-03,9.992517226e-01,1.391349348e-03,-9.998820305e-01,-7.011344003e-01
2.082647486e-03,9.995626601e-01,2.088871645e-03,-9.998813571e-01,-7.006982652e-01
2.777826741e-03,9.998741483e-01,2.787627485e-03,-9.998806804e-01,-7.002617658e-01
3.473488265e-03,1.000186188e+00,3.487618212e-03,-9.998800004e-01,-6.998249025e-01
4.169632393e-03,1.000498780e+00,4.188845174e-03,-9.998793171e-01,-6.993876758e-01
4.866259461e-03,1.000811924e+00,4.891309716e-03,-9.998786305e-01,-6.989500862e-01
5.563369803e-03,1.001125623e+00,5.595013185e-03,-9.998779406e-01,-6.985121342e-01
6.260963754e-03,1.001439877e+00,6.299956930e-03,-9.998772473e-01,-6.980738204e-01
6.959041651e-03,1.001754686e+00,7.006142298e-03,-9.998765507e-01,-6.976351451e-01
7.657603828e-03,1.002070051e+00,7.713570638e-03,-9.998758507e-01,-6.971961089e-01
8.356650621e-03,1.002385974e+00,8.422243300e-03,-9.998751473e-01,-6.967567124e-01
9.056182368e-03,1.002702455e+00,9.132161632e-03,-9.998744405e-01,-6.963169559e-01
9.756199403e-03,1.003019495e+00,9.843326986e-03,-9.998737304e-01,-6.958768401e-01
1.045670206e-02,1.003337094e+00,1.055574071e-02,-9.998730167e-01,-6.954363655e-01
1.115769069e-02,1.003655254e+00,1.126940416e-02,-9.998722997e-01,-6.949955325e-01
1.185916561e-02,1.003973976e+00,1.198431868e-02,-9.998715792e-01,-6.945543416e-01
1.256112718e-02,1.004293260e+00,1.270048563e-02,-9.998708552e-01,-6.941127935e-01
1.326357571e-02,1.004613107e+00,1.341790636e-02,-9.998701277e-01,-6.936708886e-01
1.396651156e-02,1.004933518e+00,1.413658222e-02,-9.998693967e-01,-6.932286275e-01
1.466993506e-02,1.005254494e+00,1.485651456e-02,-9.998686622e-01,-6.927860106e-01
1.537384655e-02,1.005576036e+00,1.557770475e-02,-9.998679242e-01,-6.923430385e-01
1.607824637e-02,1.005898144e+00,1.630015413e-02,-9.998671826e-01,-6.918997117e-01
1.678313485e-02,1.006220820e+00,1.702386407e-02,-9.998664375e-01,-6.914560308e-01
1.748851234e-02,1.006544064e+00,1.774883590e-02,-9.998656887e-01,-6.910119964e-01
1.819437917e-02,1.006867877e+00,1.847507100e-02,-9.998649364e-01,-6.905676088e-01
1.890073569e-02,1.007192260e+00,1.920257072e-02,-9.998641805e-01,-6.901228688e-01
1.960758223e-02,1.007517214e+00,1.993133641e-02,-9.998634209e-01,-6.896777768e-01
2.031491914e-02,1.007842739e+00,2.066136944e-02,-9.998626577e-01,-6.892323333e-01
2.102274675e-02,1.008168837e+00,2.139267116e-02,-9.998618908e-01,-6.887865390e-01
2.173106540e-02,1.008495508e+00,2.212524292e-02,-9.998611203e-01,-6.883403944e-01
2.243987544e-02,1.008822754e+00,2.285908610e-02,-9.998603460e-01,-6.878939000e-01
2.314917721e-02,1.009150574e+00,2.359420204e-02,-9.998595681e-01,-6.874470564e-01
2.385897104e-02,1.009478971e+00,2.433059211e-02,-9.998587864e-01,-6.869998641e-01
2.456925728e-02,1.009807944e+00,2.506825767e-02,-9.998580010e-01,-6.865523237e-01
2.528003627e-02,1.010137495e+00,2.580720008e-02,-9.998572118e-01,-6.861044358e-01
2.599130835e-02,1.010467624e+00,2.654742070e-02,-9.998564189e-01,-6.856562009e-01
2.670307387e-02,1.010798333e+00,2.728892090e-02,-9.998556222e-01,-6.852076197e-01
2.741533316e-02,1.011129622e+00,2.803170203e-02,-9.998548216e-01,-6.847586926e-01
2.812808657e-02,1.011461493e+00,2.877576545e-02,-9.998540173e-01,-6.843094202e-01
2.884133444e-02,1.011793945e+00,2.952111254e-02,-9.998532091e-01,-6.838598032e-01
2.955507712e-02,1.012126980e+00,3.026774465e-02,-9.998523971e-01,-6.834098421e-01
3.026931494e-02,1.012460598e+00,3.101566315e-02,-9.998515811e-01,-6.829595374e-01
3.098404826e-02,1.012794802e+00,3.176486941e-02,-9.998507613e-01,-6.825088898e-01
3.169927741e-02,1.013129590e+00,3.251536478e-02,-9.998499376e-01,-6.820578999e-01
3.241500274e-02,1.013464965e+00,3.326715064e-02,-9.998491100e-01,-6.816065681e-01
3.313122460e-02,1.013800928e+00,3.402022836e-02,-9.998482784e-01,-6.811548952e-01
3.384794332e-02,1.014137478e+00,3.477459928e-02,-9.998474429e-01,-6.807028817e-01
3.456515925e-02,1.014474617e+00,3.553026480e-02,-9.998466034e-01,-6.802505282e-01
3.528287275e-02,1.014812346e+00,3.628722626e-02,-9.998457599e-01,-6.797978354e-01
3.600108414e-02,1.015150665e+00,3.704548505e-02,-9.998449124e-01,-6.793448037e-01
3.671979378e-02,1.015489576e+00,3.780504252e-02,-9.998440609e-01,-6.788914338e-01
3.743900202e-02,1.015829080e+00,3.856590005e-02,-9.998432053e-01,-6.784377263e-01
3.815870919e-02,1.016169177e+00,3.932805900e-02,-9.998423457e-01,-6.779836818e-01
3.887891565e-02,1.016509868e+00,4.009152076e-02,-9.998414820e-01,-6.775293010e-01
3.959962175e-02,1.016851154e+00,4.085628668e-02,-9.998406142e-01,-6.770745844e-01
4.032082782e-02,1.017193035e+00,4.162235813e-02,-9.998397422e-01,-6.766195326e-01
4.104253422e-02,1.017535514e+00,4.238973650e-02,-9.998388662e-01,-6.761641462e-01
4.176474129e-02,1.017878590e+00,4.315842314e-02,-9.998379860e-01,-6.757084260e-01
4.248744938e-02,1.018222265e+00,4.392841944e-02,-9.998371016e-01,-6.752523724e-01
4.321065883e-02,1.018566539e+00,4.469972676e-02,-9.998362131e-01,-6.747959862e-01
4.393437001e-02,1.018911414e+00,4.547234647e-02,-9.998353203e-01,-6.743392679e-01
4.465858324e-02,1.019256890e+00,4.624627996e-02,-9.998344234e-01,-6.738822182e-01
4.538329889e-02,1.019602968e+00,4.702152859e-02,-9.998335221e-01,-6.734248376e-01
4.610851730e-02,1.019949648e+00,4.779809374e-02,-9.998326167e-01,-6.729671269e-01
