z,H_over_H0,dL,w_phi,w_tot
0.000000000e+00,9.986314958e-01,0.000000000e+00,-9.998833676e-01,-7.020055754e-01
6.937344500e-04,9.989534977e-01,6.950550167e-04,-9.998826978e-01,-7.015774376e-01
1.387950168e-03,9.992760373e-01,1.391332413e-03,-9.998820248e-01,-7.011489443e-01
2.082647486e-03,9.995991153e-01,2.088833524e-03,-9.998813484e-01,-7.007200958e-01
2.777826741e-03,9.999227327e-01,2.787559682e-03,-9.998806688e-01,-7.002908926e-01
3.473488265e-03,1.000246890e+00,3.487512222e-03,-9.998799858e-01,-6.998613351e-01
4.169632393e-03,1.000571589e+00,4.188692481e-03,-9.998792996e-01,-6.994314239e-01
4.866259461e-03,1.000896829e+00,4.891101794e-03,-9.998786100e-01,-6.990011594e-01
5.563369803e-03,1.001222612e+00,5.594741497e-03,-9.998779170e-01,-6.985705420e-01
6.260963754e-03,1.001548938e+00,6.299612928e-03,-9.998772207e-01,-6.981395722e-01
6.959041651e-03,1.001875809e+00,7.005717423e-03,-9.998765210e-01,-6.977082505e-01
7.657603828e-03,1.002203225e+00,7.713056321e-03,-9.998758179e-01,-6.972765773e-01
8.356650621e-03,1.002531187e+00,8.421630961e-03,-9.998751113e-01,-6.968445532e-01
9.056182368e-03,1.002859695e+00,9.131442682e-03,-9.998744014e-01,-6.964121785e-01
9.756199403e-03,1.003188751e+00,9.842492822e-03,-9.998736880e-01,-6.959794538e-01
1.045670206e-02,1.003518355e+00,1.055478272e-02,-9.998729712e-01,-6.955463796e-01
1.115769069e-02,1.003848509e+00,1.126831373e-02,-9.998722509e-01,-6.951129563e-01
1.185916561e-02,1.004179213e+00,1.198308717e-02,-9.998715271e-01,-6.946791844e-01
1.256112718e-02,1.004510467e+00,1.269910440e-02,-9.998707998e-01,-6.942450644e-01
1.326357571e-02,1.004842274e+00,1.341636675e-02,-9.998700689e-01,-6.938105968e-01
1.396651156e-02,1.005174633e+00,1.413487558e-02,-9.998693346e-01,-6.933757821e-01
1.466993506e-02,1.005507545e+00,1.485463221e-02,-9.998685967e-01,-6.929406208e-01
1.537384655e-02,1.005841011e+00,1.557563801e-02,-9.998678552e-01,-6.925051133e-01
1.607824637e-02,1.006175033e+00,1.629789430e-02,-9.998671102e-01,-6.920692602e-01
1.678313485e-02,1.006509610e+00,1.702140244e-02,-9.998663615e-01,-6.916330620e-01
1.748851234e-02,1.006844744e+00,1.774616377e-02,-9.998656093e-01,-6.911965191e-01
1.819437917e-02,1.007180436e+00,1.847217964e-02,-9.998648534e-01,-6.907596321e-01
1.890073569e-02,1.007516686e+00,1.919945139e-02,-9.998640939e-01,-6.903224014e-01
1.960758223e-02,1.007853496e+00,1.992798038e-02,-9.998633308e-01,-6.898848277e-01
2.031491914e-02,1.008190865e+00,2.065776794e-02,-9.998625639e-01,-6.894469113e-01
2.102274675e-02,1.008528796e+00,2.138881543e-02,-9.998617934e-01,-6.890086529e-01
2.173106540e-02,1.008867288e+00,2.212112419e-02,-9.998610191e-01,-6.885700528e-01
2.243987544e-02,1.009206343e+00,2.285469557e-02,-9.998602412e-01,-6.881311117e-01
2.314917721e-02,1.009545961e+00,2.358953093e-02,-9.998594595e-01,-6.876918301e-01
2.385897104e-02,1.009886144e+00,2.432563161e-02,-9.998586740e-01,-6.872522085e-01
2.456925728e-02,1.010226891e+00,2.506299897e-02,-9.998578848e-01,-6.868122473e-01
2.528003627e-02,1.010568205e+00,2.580163435e-02,-9.998570918e-01,-6.863719472e-01
2.599130835e-02,1.010910086e+00,2.654153911e-02,-9.998562950e-01,-6.859313086e-01
2.670307387e-02,1.011252534e+00,2.728271460e-02,-9.998554943e-01,-6.854903321e-01
2.741533316e-02,1.011595551e+00,2.802516216e-02,-9.998546899e-01,-6.850490183e-01
2.812808657e-02,1.011939137e+00,2.876888317e-02,-9.998538815e-01,-6.846073676e-01
2.884133444e-02,1.012283294e+00,2.951387896e-02,-9.998530693e-01,-6.841653806e-01
2.955507712e-02,1.012628021e+00,3.026015089e-02,-9.998522533e-01,-6.837230578e-01
3.026931494e-02,1.012973321e+00,3.100770032e-02,-9.998514333e-01,-6.832803999e-01
3.098404826e-02,1.013319193e+00,3.175652860e-02,-9.998506094e-01,-6.828374072e-01
3.169927741e-02,1.013665639e+00,3.250663709e-02,-9.998497815e-01,-6.823940804e-01
3.241500274e-02,1.014012659e+00,3.325802714e-02,-9.998489497e-01,-6.819504200e-01
3.313122460e-02,1.014360255e+00,3.401070011e-02,-9.998481139e-01,-6.815064266e-01
3.384794332e-02,1.014708427e+00,3.476465736e-02,-9.998472742e-01,-6.810621007e-01
3.456515925e-02,1.015057176e+00,3.551990025e-02,-9.998464304e-01,-6.806174429e-01
3.528287275e-02,1.015406503e+00,3.627643013e-02,-9.998455826e-01,-6.801724537e-01
3.600108414e-02,1.015756409e+00,3.703424835e-02,-9.998447308e-01,-6.797271337e-01
3.671979378e-02,1.016106895e+00,3.779335629e-02,-9.998438749e-01,-6.792814834e-01
3.743900202e-02,1.016457961e+00,3.855375530e-02,-9.998430149e-01,-6.788355035e-01
3.815870919e-02,1.016809609e+00,3.931544674e-02,-9.998421508e-01,-6.783891944e-01
3.887891565e-02,1.017161838e+00,4.007843197e-02,-9.998412826e-01,-6.779425569e-01
3.959962175e-02,1.017514651e+00,4.084271236e-02,-9.998404103e-01,-6.774955913e-01
4.032082782e-02,1.017868048e+00,4.160828925e-02,-9.998395339e-01,-6.770482983e-01
4.104253422e-02,1.018222029e+00,4.237516402e-02,-9.998386532e-01,-6.766006785e-01
4.176474129e-02,1.018576597e+00,4.314333803e-02,-9.998377684e-01,-6.761527325e-01
4.248744938e-02,1.018931751e+00,4.391281264e-02,-9.998368794e-01,-6.757044607e-01
4.321065883e-02,1.019287492e+00,4.468358921e-02,-9.998359862e-01,-6.752558639e-01
4.393437001e-02,1.019643822e+00,4.545566911e-02,-9.998350887e-01,-6.748069426e-01
4.465858324e-02,1.020000741e+00,4.622905370e-02,-9.998341869e-01,-6.743576974e-01
4.538329889e-02,1.020358250e+00,4.700374435e-02,-9.998332809e-01,-6.739081288e-01
4.610851730e-02,1.020716349e+00,4.777974242e-02,-9.998323706e-01,-6.734582375e-01
4.683423882e-02,1.021075041e+00,4.855704928e-02,-9.998314560e-01,-6.730080241e-01
4.756046379e-02,1.021434325e+00,4.933566630e-02,-9.998305370e-01,-6.725574891e-01
4.828719257e-02,1.021794203e+00,5.011559483e-02,-9.998296137e-01,-6.721066331e-01
4.901442551e-02,1.022154676e+00,5.089683625e-02,-9.998286861e-01,-6.716554568e-01
4.974216296e-02,1.022515743e+00,5.167939193e-02,-9.998277540e-01,-6.712039607e-01
5.047040526e-02,1.022877407e+00,5.246326324e-02,-9.998268175e-01,-6.707521455e-01
5.119915277e-02,1.023239668e+00,5.324845153e-02,-9.998258766e-01,-6.703000118e-01
5.192840583e-02,1.023602526e+00,5.403495819e-02,-9.998249313e-01,-6.698475601e-01
5.265816481e-02,1.023965984e+00,5.482278458e-02,-9.998239815e-01,-6.693947911e-01
5.338843004e-02,1.024330041e+00,5.561193207e-02,-9.998230272e-01,-6.689417054e-01
5.411920188e-02,1.024694699e+00,5.640240203e-02,-9.998220684e-01,-6.684883036e-01
5.485048069e-02,1.025059958e+00,5.719419584e-02,-9.998211051e-01,-6.680345863e-01
5.558226681e-02,1.025425820e+00,5.798731486e-02,-9.998201372e-01,-6.675805542e-01
5.631456059e-02,1.025792285e+00,5.878176046e-02,-9.998191648e-01,-6.671262078e-01
5.704736239e-02,1.026159354e+00,5.957753403e-02,-9.998181877e-01,-6.666715478e-01
5.778067256e-02,1.026527028e+00,6.037463692e-02,-9.998172061e-01,-6.662165748e-01
5.851449146e-02,1.026895308e+00,6.117307052e-02,-9.998162199e-01,-6.657612895e-01
5.924881942e-02,1.027264194e+00,6.197283620e-02,-9.998152290e-01,-6.653056924e-01
5.998365682e-02,1.027633688e+00,6.277393532e-02,-9.998142335e-01,-6.648497842e-01
6.071900400e-02,1.028003791e+00,6.357636928e-02,-9.998132332e-01,-6.643935656e-01
6.145486132e-02,1.028374503e+00,6.438013944e-02,-9.998122283e-01,-6.639370372e-01
6.219122912e-02,1.028745826e+00,6.518524717e-02,-9.998112187e-01,-6.634801995e-01
6.292810777e-02,1.029117760e+00,6.599169386e-02,-9.998102043e-01,-6.630230533e-01
6.366549761e-02,1.029490306e+00,6.679948088e-02,-9.998091851e-01,-6.625655993e-01
6.440339901e-02,1.029863464e+00,6.760860960e-02,-9.998081611e-01,-6.621078379e-01
6.514181232e-02,1.030237237e+00,6.841908141e-02,-9.998071324e-01,-6.616497700e-01
6.588073789e-02,1.030611625e+00,6.923089768e-02,-9.998060988e-01,-6.611913961e-01
6.662017608e-02,1.030986628e+00,7.004405978e-02,-9.998050604e-01,-6.607327169e-01
6.736012724e-02,1.031362248e+00,7.085856911e-02,-9.998040171e-01,-6.602737330e-01
6.810059173e-02,1.031738485e+00,7.167442703e-02,-9.998029689e-01,-6.598144452e-01
6.884156991e-02,1.032115341e+00,7.249163493e-02,-9.998019158e-01,-6.593548540e-01
6.958306212e-02,1.032492816e+00,7.331019419e-02,-9.998008578e-01,-6.588949601e-01
7.032506874e-02,1.032870911e+00,7.413010618e-02,-9.997997948e-01,-6.584347642e-01
7.106759011e-02,1.033249627e+00,7.495137230e-02,-9.997987268e-01,-6.579742670e-01
7.181062660e-02,1.033628966e+00,7.577399391e-02,-9.997976539e-01,-6.575134691e-01
7.255417856e-02,1.034008927e+00,7.659797240e-02,-9.997965759e-01,-6.570523712e-01
7.329824634e-02,1.034389511e+00,7.742330915e-02,-9.997954929e-01,-6.565909739e-01
7.404283031e-02,1.034770721e+00,7.825000555e-02,-9.997944048e-01,-6.561292780e-01
7.478793082e-02,1.035152556e+00,7.907806298e-02,-9.997933117e-01,-6.556672841e-01
7.553354823e-02,1.035535018e+00,7.990748282e-02,-9.997922134e-01,-6.552049928e-01
7.627968291e-02,1.035918107e+00,8.073826645e-02,-9.997911100e-01,-6.547424050e-01
7.702633520e-02,1.036301825e+00,8.157041527e-02,-9.997900015e-01,-6.542795211e-01
7.777350547e-02,1.036686171e+00,8.240393065e-02,-9.997888878e-01,-6.538163420e-01
7.852119408e-02,1.037071148e+00,8.323881398e-02,-9.997877689e-01,-6.533528684e-01
7.926940139e-02,1.037456756e+00,8.407506664e-02,-9.997866448e-01,-6.528891008e-01
8.001812776e-02,1.037842996e+00,8.491269003e-02,-9.997855154e-01,-6.524250400e-01
8.076737354e-02,1.038229868e+00,8.575168552e-02,-9.997843808e-01,-6.519606868e-01
8.151713910e-02,1.038617375e+00,8.659205451e-02,-9.997832409e-01,-6.514960417e-01
8.226742480e-02,1.039005516e+00,8.743379838e-02,-9.997820957e-01,-6.510311054e-01
8.301823099e-02,1.039394293e+00,8.827691852e-02,-9.997809452e-01,-6.505658788e-01
8.376955805e-02,1.039783706e+00,8.912141632e-02,-9.997797893e-01,-6.501003625e-01
8.452140633e-02,1.040173757e+00,8.996729316e-02,-9.997786280e-01,-6.496345571e-01
8.527377619e-02,1.040564446e+00,9.081455044e-02,-9.997774614e-01,-6.491684634e-01
8.602666800e-02,1.040955775e+00,9.166318954e-02,-9.997762893e-01,-6.487020821e-01
8.678008211e-02,1.041347743e+00,9.251321186e-02,-9.997751118e-01,-6.482354140e-01
8.753401889e-02,1.041740353e+00,9.336461878e-02,-9.997739288e-01,-6.477684596e-01
8.828847871e-02,1.042133605e+00,9.421741170e-02,-9.997727403e-01,-6.473012198e-01
8.904346191e-02,1.042527500e+00,9.507159200e-02,-9.997715463e-01,-6.468336952e-01
8.979896888e-02,1.042922039e+00,9.592716107e-02,-9.997703467e-01,-6.463658866e-01
9.055499997e-02,1.043317222e+00,9.678412032e-02,-9.997691416e-01,-6.458977947e-01
9.131155554e-02,1.043713051e+00,9.764247113e-02,-9.997679309e-01,-6.454294201e-01
9.206863597e-02,1.044109527e+00,9.850221489e-02,-9.997667146e-01,-6.449607637e-01
9.282624160e-02,1.044506651e+00,9.936335300e-02,-9.997654927e-01,-6.444918262e-01
9.358437281e-02,1.044904423e+00,1.002258869e-01,-9.997642650e-01,-6.440226083e-01
9.434302996e-02,1.045302844e+00,1.010898178e-01,-9.997630318e-01,-6.435531106e-01
9.510221342e-02,1.045701916e+00,1.019551474e-01,-9.997617928e-01,-6.430833340e-01
9.586192356e-02,1.046101639e+00,1.028218768e-01,-9.997605480e-01,-6.426132792e-01
9.662216073e-02,1.046502015e+00,1.036900075e-01,-9.997592975e-01,-6.421429469e-01
9.738292530e-02,1.046903043e+00,1.045595410e-01,-9.997580413e-01,-6.416723379e-01
9.814421764e-02,1.047304726e+00,1.054304786e-01,-9.997567792e-01,-6.412014529e-01
9.890603811e-02,1.047707064e+00,1.063028217e-01,-9.997555113e-01,-6.407302926e-01
9.966838709e-02,1.048110058e+00,1.071765717e-01,-9.997542375e-01,-6.402588577e-01
1.004312649e-01,1.048513708e+00,1.080517299e-01,-9.997529578e-01,-6.397871491e-01
