z,H_over_H0,dL,w_phi,w_tot
0.000000000e+00,9.986314958e-01,0.000000000e+00,-9.998833676e-01,-7.020055754e-01
6.937344500e-04,9.989656637e-01,6.950507850e-04,-9.998826950e-01,-7.015847063e-01
1.387950168e-03,9.993003584e-01,1.391315475e-03,-9.998820190e-01,-7.011634911e-01
2.082647486e-03,9.996355805e-01,2.088795394e-03,-9.998813398e-01,-7.007419299e-01
2.777826741e-03,9.999713310e-01,2.787491865e-03,-9.998806572e-01,-7.003200234e-01
3.473488265e-03,1.000307611e+00,3.487406212e-03,-9.998799713e-01,-6.998977719e-01
4.169632393e-03,1.000644420e+00,4.188539760e-03,-9.998792820e-01,-6.994751759e-01
4.866259461e-03,1.000981761e+00,4.890893836e-03,-9.998785894e-01,-6.990522357e-01
5.563369803e-03,1.001319633e+00,5.594469763e-03,-9.998778934e-01,-6.986289518e-01
6.260963754e-03,1.001658037e+00,6.299268870e-03,-9.998771940e-01,-6.982053247e-01
6.959041651e-03,1.001996975e+00,7.005292484e-03,-9.998764912e-01,-6.977813548e-01
7.657603828e-03,1.002336446e+00,7.712541931e-03,-9.998757850e-01,-6.973570425e-01
8.356650621e-03,1.002676453e+00,8.421018540e-03,-9.998750753e-01,-6.969323883e-01
9.056182368e-03,1.003016995e+00,9.130723641e-03,-9.998743622e-01,-6.965073925e-01
9.756199403e-03,1.003358074e+00,9.841658561e-03,-9.998736456e-01,-6.960820557e-01
1.045670206e-02,1.003699690e+00,1.055382463e-02,-9.998729256e-01,-6.956563783e-01
1.115769069e-02,1.004041843e+00,1.126722318e-02,-9.998722020e-01,-6.952303607e-01
1.185916561e-02,1.004384536e+00,1.198185555e-02,-9.998714749e-01,-6.948040035e-01
1.256112718e-02,1.004727769e+00,1.269772306e-02,-9.998707443e-01,-6.943773069e-01
1.326357571e-02,1.005071542e+00,1.341482704e-02,-9.998700101e-01,-6.939502716e-01
1.396651156e-02,1.005415857e+00,1.413316883e-02,-9.998692724e-01,-6.935228979e-01
1.466993506e-02,1.005760713e+00,1.485274976e-02,-9.998685311e-01,-6.930951864e-01
1.537384655e-02,1.006106113e+00,1.557357117e-02,-9.998677862e-01,-6.926671374e-01
1.607824637e-02,1.006452057e+00,1.629563439e-02,-9.998670377e-01,-6.922387514e-01
1.678313485e-02,1.006798545e+00,1.701894075e-02,-9.998662856e-01,-6.918100290e-01
1.748851234e-02,1.007145579e+00,1.774349159e-02,-9.998655298e-01,-6.913809705e-01
